created_at,entry_id,field1,field2
2021-07-27 12:04:19 UTC,568,31.30000,65.00000
2021-07-27 12:04:35 UTC,569,31.30000,65.00000
2021-07-27 12:04:51 UTC,570,31.30000,65.00000
2021-07-27 12:05:07 UTC,571,31.30000,65.00000
2021-07-27 12:05:23 UTC,572,31.30000,65.00000
2021-07-27 12:05:39 UTC,573,31.30000,65.00000
2021-07-27 12:05:55 UTC,574,31.30000,64.00000
2021-07-27 12:06:11 UTC,575,31.30000,64.00000
2021-07-27 12:06:27 UTC,576,31.30000,64.00000
2021-07-27 12:06:43 UTC,577,31.30000,64.00000
2021-07-27 12:06:59 UTC,578,31.30000,64.00000
2021-07-27 12:07:15 UTC,579,31.30000,64.00000
2021-07-27 12:07:31 UTC,580,31.30000,64.00000
2021-07-27 12:07:47 UTC,581,31.30000,64.00000
2021-07-27 12:08:03 UTC,582,31.30000,64.00000
2021-07-27 12:08:19 UTC,583,31.30000,64.00000
2021-07-27 12:08:35 UTC,584,31.30000,64.00000
2021-07-27 12:08:51 UTC,585,31.30000,64.00000
2021-07-27 12:09:07 UTC,586,31.30000,64.00000
2021-07-27 12:09:23 UTC,587,31.30000,64.00000
2021-07-27 12:09:39 UTC,588,31.30000,64.00000
2021-07-27 12:09:55 UTC,589,31.30000,64.00000
2021-07-27 12:10:11 UTC,590,31.30000,64.00000
2021-07-27 12:10:27 UTC,591,31.30000,64.00000
2021-07-27 12:10:43 UTC,592,31.30000,63.00000
2021-07-27 12:10:59 UTC,593,31.30000,63.00000
2021-07-27 12:11:15 UTC,594,31.30000,63.00000
2021-07-27 12:11:31 UTC,595,31.30000,63.00000
2021-07-27 12:11:49 UTC,596,31.30000,63.00000
2021-07-27 12:12:05 UTC,597,31.30000,63.00000
2021-07-27 12:12:21 UTC,598,31.30000,63.00000
2021-07-27 12:12:37 UTC,599,31.30000,63.00000
2021-07-27 12:12:53 UTC,600,31.30000,64.00000
2021-07-27 12:13:09 UTC,601,31.30000,64.00000
2021-07-27 12:13:25 UTC,602,31.30000,64.00000
2021-07-27 12:13:41 UTC,603,31.30000,64.00000
2021-07-27 12:13:57 UTC,604,31.30000,64.00000
2021-07-27 12:14:13 UTC,605,31.30000,64.00000
2021-07-27 12:14:29 UTC,606,31.40000,64.00000
2021-07-27 12:14:45 UTC,607,31.40000,64.00000
2021-07-27 12:15:01 UTC,608,31.40000,64.00000
2021-07-27 12:15:17 UTC,609,31.40000,64.00000
2021-07-27 12:15:33 UTC,610,31.40000,64.00000
2021-07-27 12:15:49 UTC,611,31.40000,64.00000
2021-07-27 12:16:05 UTC,612,31.40000,64.00000
2021-07-27 12:16:20 UTC,613,31.50000,64.00000
2021-07-27 12:16:36 UTC,614,31.50000,63.00000
2021-07-27 12:16:52 UTC,615,31.50000,63.00000
2021-07-27 12:17:08 UTC,616,31.50000,63.00000
2021-07-27 12:17:24 UTC,617,31.50000,63.00000
2021-07-27 12:17:40 UTC,618,31.50000,63.00000
2021-07-27 12:17:59 UTC,619,31.50000,63.00000
2021-07-27 12:18:15 UTC,620,31.50000,63.00000
2021-07-27 12:18:31 UTC,621,31.50000,63.00000
2021-07-27 12:18:46 UTC,622,31.50000,63.00000
2021-07-27 12:19:02 UTC,623,31.60000,63.00000
2021-07-27 12:19:18 UTC,624,31.60000,63.00000
2021-07-27 12:19:34 UTC,625,31.60000,63.00000
2021-07-27 12:19:50 UTC,626,31.60000,62.00000
2021-07-27 12:20:07 UTC,627,31.60000,62.00000
2021-07-27 12:20:23 UTC,628,31.70000,62.00000
2021-07-27 12:20:39 UTC,629,31.70000,62.00000
2021-07-27 12:20:55 UTC,630,31.70000,61.00000
2021-07-27 12:21:11 UTC,631,31.80000,62.00000
2021-07-27 12:21:26 UTC,632,31.80000,62.00000
2021-07-27 12:21:42 UTC,633,31.80000,62.00000
2021-07-27 12:21:58 UTC,634,31.80000,62.00000
2021-07-27 12:22:14 UTC,635,31.80000,62.00000
2021-07-27 12:22:30 UTC,636,31.80000,61.00000
2021-07-27 12:22:46 UTC,637,31.80000,61.00000
2021-07-27 12:23:02 UTC,638,31.80000,61.00000
2021-07-27 12:23:18 UTC,639,31.80000,62.00000
2021-07-27 12:23:34 UTC,640,31.80000,62.00000
2021-07-27 12:23:50 UTC,641,31.80000,61.00000
2021-07-27 12:24:07 UTC,642,31.80000,61.00000
2021-07-27 12:24:23 UTC,643,31.80000,61.00000
2021-07-27 12:24:42 UTC,644,31.90000,62.00000
2021-07-27 12:24:58 UTC,645,31.80000,62.00000
2021-07-27 12:25:13 UTC,646,31.70000,63.00000
2021-07-27 12:25:29 UTC,647,31.70000,63.00000
2021-07-27 12:25:45 UTC,648,31.80000,63.00000
2021-07-27 12:26:01 UTC,649,32.00000,63.00000
2021-07-27 12:26:17 UTC,650,31.80000,63.00000
2021-07-27 12:26:33 UTC,651,31.80000,63.00000
2021-07-27 12:26:49 UTC,652,31.80000,63.00000
2021-07-27 12:27:05 UTC,653,31.80000,63.00000
2021-07-27 12:27:21 UTC,654,31.80000,63.00000
2021-07-27 12:27:37 UTC,655,31.80000,62.00000
